id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,AT_E_Demand,2050,1,1,4,-0.0
2,AT_E_Demand,2050,1,5,8,-0.0
3,AT_E_Demand,2050,1,9,12,-0.0
4,AT_E_Demand,2050,1,13,16,-0.0
5,AT_E_Demand,2050,1,17,20,-0.0
6,AT_E_Demand,2050,1,21,24,-0.0
7,AT_E_Demand,2050,2,1,4,-0.0
8,AT_E_Demand,2050,2,5,8,-0.0
9,AT_E_Demand,2050,2,9,12,-0.0
10,AT_E_Demand,2050,2,13,16,-0.0
11,AT_E_Demand,2050,2,17,20,-0.0
12,AT_E_Demand,2050,2,21,24,-0.0
13,AT_E_Demand,2050,3,1,4,-0.0
14,AT_E_Demand,2050,3,5,8,-0.0
15,AT_E_Demand,2050,3,9,12,-0.0
16,AT_E_Demand,2050,3,13,16,-0.0
17,AT_E_Demand,2050,3,17,20,-0.0
18,AT_E_Demand,2050,3,21,24,-0.0
19,AT_H_Demand,2050,1,1,1,-14691.665029122396
20,AT_H_Demand,2050,1,2,2,4897.221676374132
21,AT_H_Demand,2050,1,3,3,4897.221676374132
22,AT_H_Demand,2050,1,4,4,4897.221676374132
23,AT_H_Demand,2050,1,5,5,-14691.665029122396
24,AT_H_Demand,2050,1,6,6,4897.221676374132
25,AT_H_Demand,2050,1,7,7,4897.221676374132
26,AT_H_Demand,2050,1,8,8,4897.221676374132
27,AT_H_Demand,2050,1,9,9,-14691.665029122396
28,AT_H_Demand,2050,1,10,10,4897.221676374132
29,AT_H_Demand,2050,1,11,11,4897.221676374132
30,AT_H_Demand,2050,1,12,12,4897.221676374132
31,AT_H_Demand,2050,1,13,13,-14691.665029122396
32,AT_H_Demand,2050,1,14,14,4897.221676374132
33,AT_H_Demand,2050,1,15,15,4897.221676374132
34,AT_H_Demand,2050,1,16,16,4897.221676374132
35,AT_H_Demand,2050,1,17,17,-14691.665029122396
36,AT_H_Demand,2050,1,18,18,4897.221676374132
37,AT_H_Demand,2050,1,19,19,4897.221676374132
38,AT_H_Demand,2050,1,20,20,4897.221676374132
39,AT_H_Demand,2050,1,21,21,-14691.665029122396
40,AT_H_Demand,2050,1,22,22,4897.221676374132
41,AT_H_Demand,2050,1,23,23,4897.221676374132
42,AT_H_Demand,2050,1,24,24,4897.221676374132
43,AT_H_Demand,2050,2,1,1,-19804.893071349525
44,AT_H_Demand,2050,2,2,2,6601.631023783175
45,AT_H_Demand,2050,2,3,3,6601.631023783175
46,AT_H_Demand,2050,2,4,4,6601.631023783175
47,AT_H_Demand,2050,2,5,5,-19804.893071349525
48,AT_H_Demand,2050,2,6,6,6601.631023783175
49,AT_H_Demand,2050,2,7,7,6601.631023783175
50,AT_H_Demand,2050,2,8,8,6601.631023783175
51,AT_H_Demand,2050,2,9,9,-19804.893071349525
52,AT_H_Demand,2050,2,10,10,6601.631023783175
53,AT_H_Demand,2050,2,11,11,6601.631023783175
54,AT_H_Demand,2050,2,12,12,6601.631023783175
55,AT_H_Demand,2050,2,13,13,-19804.893071349525
56,AT_H_Demand,2050,2,14,14,6601.631023783175
57,AT_H_Demand,2050,2,15,15,6601.631023783175
58,AT_H_Demand,2050,2,16,16,6601.631023783175
59,AT_H_Demand,2050,2,17,17,-19804.893071349525
60,AT_H_Demand,2050,2,18,18,6601.631023783175
61,AT_H_Demand,2050,2,19,19,6601.631023783175
62,AT_H_Demand,2050,2,20,20,6601.631023783175
63,AT_H_Demand,2050,2,21,21,-19804.893071349525
64,AT_H_Demand,2050,2,22,22,6601.631023783175
65,AT_H_Demand,2050,2,23,23,6601.631023783175
66,AT_H_Demand,2050,2,24,24,6601.631023783175
67,AT_H_Demand,2050,3,1,1,-20253.441899528087
68,AT_H_Demand,2050,3,2,2,6751.147299842695
69,AT_H_Demand,2050,3,3,3,6751.147299842695
70,AT_H_Demand,2050,3,4,4,6751.147299842695
71,AT_H_Demand,2050,3,5,5,-20253.441899528087
72,AT_H_Demand,2050,3,6,6,6751.147299842695
73,AT_H_Demand,2050,3,7,7,6751.147299842695
74,AT_H_Demand,2050,3,8,8,6751.147299842695
75,AT_H_Demand,2050,3,9,9,-20253.441899528087
76,AT_H_Demand,2050,3,10,10,6751.147299842695
77,AT_H_Demand,2050,3,11,11,6751.147299842695
78,AT_H_Demand,2050,3,12,12,6751.147299842695
79,AT_H_Demand,2050,3,13,13,-20253.441899528087
80,AT_H_Demand,2050,3,14,14,6751.147299842695
81,AT_H_Demand,2050,3,15,15,6751.147299842695
82,AT_H_Demand,2050,3,16,16,6751.147299842695
83,AT_H_Demand,2050,3,17,17,-20253.441899528087
84,AT_H_Demand,2050,3,18,18,6751.147299842695
85,AT_H_Demand,2050,3,19,19,6751.147299842695
86,AT_H_Demand,2050,3,20,20,6751.147299842695
87,AT_H_Demand,2050,3,21,21,-20253.441899528087
88,AT_H_Demand,2050,3,22,22,6751.147299842695
89,AT_H_Demand,2050,3,23,23,6751.147299842695
90,AT_H_Demand,2050,3,24,24,6751.147299842695
91,BE_E_Demand,2050,1,1,1,-0.0
92,BE_E_Demand,2050,1,2,2,-0.0
93,BE_E_Demand,2050,1,3,3,-0.0
94,BE_E_Demand,2050,1,4,4,-0.0
95,BE_E_Demand,2050,1,5,5,-0.0
96,BE_E_Demand,2050,1,6,6,-0.0
97,BE_E_Demand,2050,1,7,7,-0.0
98,BE_E_Demand,2050,1,8,8,-0.0
99,BE_E_Demand,2050,1,9,9,-0.0
100,BE_E_Demand,2050,1,10,10,-0.0
101,BE_E_Demand,2050,1,11,11,-0.0
102,BE_E_Demand,2050,1,12,12,-0.0
103,BE_E_Demand,2050,1,13,13,-0.0
104,BE_E_Demand,2050,1,14,14,-0.0
105,BE_E_Demand,2050,1,15,15,-0.0
106,BE_E_Demand,2050,1,16,16,-0.0
107,BE_E_Demand,2050,1,17,17,-0.0
108,BE_E_Demand,2050,1,18,18,-0.0
109,BE_E_Demand,2050,1,19,19,-0.0
110,BE_E_Demand,2050,1,20,20,-0.0
111,BE_E_Demand,2050,1,21,21,-0.0
112,BE_E_Demand,2050,1,22,22,-0.0
113,BE_E_Demand,2050,1,23,23,-0.0
114,BE_E_Demand,2050,1,24,24,-0.0
115,BE_E_Demand,2050,2,1,1,-0.0
116,BE_E_Demand,2050,2,2,2,-0.0
117,BE_E_Demand,2050,2,3,3,-0.0
118,BE_E_Demand,2050,2,4,4,-0.0
119,BE_E_Demand,2050,2,5,5,-0.0
120,BE_E_Demand,2050,2,6,6,-0.0
121,BE_E_Demand,2050,2,7,7,-0.0
122,BE_E_Demand,2050,2,8,8,-0.0
123,BE_E_Demand,2050,2,9,9,-0.0
124,BE_E_Demand,2050,2,10,10,-0.0
125,BE_E_Demand,2050,2,11,11,-0.0
126,BE_E_Demand,2050,2,12,12,-0.0
127,BE_E_Demand,2050,2,13,13,-0.0
128,BE_E_Demand,2050,2,14,14,-0.0
129,BE_E_Demand,2050,2,15,15,-0.0
130,BE_E_Demand,2050,2,16,16,-0.0
131,BE_E_Demand,2050,2,17,17,-0.0
132,BE_E_Demand,2050,2,18,18,-0.0
133,BE_E_Demand,2050,2,19,19,-0.0
134,BE_E_Demand,2050,2,20,20,-0.0
135,BE_E_Demand,2050,2,21,21,-0.0
136,BE_E_Demand,2050,2,22,22,-0.0
137,BE_E_Demand,2050,2,23,23,-0.0
138,BE_E_Demand,2050,2,24,24,-0.0
139,BE_E_Demand,2050,3,1,1,-0.0
140,BE_E_Demand,2050,3,2,2,-0.0
141,BE_E_Demand,2050,3,3,3,-0.0
142,BE_E_Demand,2050,3,4,4,-0.0
143,BE_E_Demand,2050,3,5,5,-0.0
144,BE_E_Demand,2050,3,6,6,-0.0
145,BE_E_Demand,2050,3,7,7,-0.0
146,BE_E_Demand,2050,3,8,8,-0.0
147,BE_E_Demand,2050,3,9,9,-0.0
148,BE_E_Demand,2050,3,10,10,-0.0
149,BE_E_Demand,2050,3,11,11,-0.0
150,BE_E_Demand,2050,3,12,12,-0.0
151,BE_E_Demand,2050,3,13,13,-0.0
152,BE_E_Demand,2050,3,14,14,-0.0
153,BE_E_Demand,2050,3,15,15,-0.0
154,BE_E_Demand,2050,3,16,16,-0.0
155,BE_E_Demand,2050,3,17,17,-0.0
156,BE_E_Demand,2050,3,18,18,-0.0
157,BE_E_Demand,2050,3,19,19,-0.0
158,BE_E_Demand,2050,3,20,20,-0.0
159,BE_E_Demand,2050,3,21,21,-0.0
160,BE_E_Demand,2050,3,22,22,-0.0
161,BE_E_Demand,2050,3,23,23,-0.0
162,BE_E_Demand,2050,3,24,24,-0.0
163,BE_H_Demand,2050,1,1,1,-4897.221676374132
164,BE_H_Demand,2050,1,2,2,4897.221676374132
165,BE_H_Demand,2050,1,3,3,-4897.221676374132
166,BE_H_Demand,2050,1,4,4,4897.221676374132
167,BE_H_Demand,2050,1,5,5,-4897.221676374132
168,BE_H_Demand,2050,1,6,6,4897.221676374132
169,BE_H_Demand,2050,1,7,7,-4897.221676374132
170,BE_H_Demand,2050,1,8,8,4897.221676374132
171,BE_H_Demand,2050,1,9,9,-4897.221676374132
172,BE_H_Demand,2050,1,10,10,4897.221676374132
173,BE_H_Demand,2050,1,11,11,-4897.221676374132
174,BE_H_Demand,2050,1,12,12,4897.221676374132
175,BE_H_Demand,2050,1,13,13,-4897.221676374132
176,BE_H_Demand,2050,1,14,14,4897.221676374132
177,BE_H_Demand,2050,1,15,15,-4897.221676374132
178,BE_H_Demand,2050,1,16,16,4897.221676374132
179,BE_H_Demand,2050,1,17,17,-4897.221676374132
180,BE_H_Demand,2050,1,18,18,4897.221676374132
181,BE_H_Demand,2050,1,19,19,-4897.221676374132
182,BE_H_Demand,2050,1,20,20,4897.221676374132
183,BE_H_Demand,2050,1,21,21,-4897.221676374132
184,BE_H_Demand,2050,1,22,22,4897.221676374132
185,BE_H_Demand,2050,1,23,23,-4897.221676374132
186,BE_H_Demand,2050,1,24,24,4897.221676374132
187,BE_H_Demand,2050,2,1,1,-6601.631023783175
188,BE_H_Demand,2050,2,2,2,6601.631023783175
189,BE_H_Demand,2050,2,3,3,-6601.631023783175
190,BE_H_Demand,2050,2,4,4,6601.631023783175
191,BE_H_Demand,2050,2,5,5,-6601.631023783175
192,BE_H_Demand,2050,2,6,6,6601.631023783175
193,BE_H_Demand,2050,2,7,7,-6601.631023783175
194,BE_H_Demand,2050,2,8,8,6601.631023783175
195,BE_H_Demand,2050,2,9,9,-6601.631023783175
196,BE_H_Demand,2050,2,10,10,6601.631023783175
197,BE_H_Demand,2050,2,11,11,-6601.631023783175
198,BE_H_Demand,2050,2,12,12,6601.631023783175
199,BE_H_Demand,2050,2,13,13,-6601.631023783175
200,BE_H_Demand,2050,2,14,14,6601.631023783175
201,BE_H_Demand,2050,2,15,15,-6601.631023783175
202,BE_H_Demand,2050,2,16,16,6601.631023783175
203,BE_H_Demand,2050,2,17,17,-6601.631023783175
204,BE_H_Demand,2050,2,18,18,6601.631023783175
205,BE_H_Demand,2050,2,19,19,-6601.631023783175
206,BE_H_Demand,2050,2,20,20,6601.631023783175
