asset,commission_year,fixed_cost,investment_cost,investment_limit,fixed_cost_storage_energy,investment_cost_storage_energy,investment_limit_storage_energy,storage_loss_from_stored_energy,efficiency,storage_charging_efficiency,storage_discharging_efficiency
CoalSubC1,2030,0.0,1370.0,303,5.0,0.0,,0,1.0,1.0,1.0
CoalSubC2,2030,0.0,1370.0,746,5.0,0.0,,0,1.0,1.0,1.0
CoalSubC3,2030,0.0,1370.0,227,5.0,0.0,,0,1.0,1.0,1.0
CoalSubC4,2030,0.0,1370.0,110,5.0,0.0,,0,1.0,1.0,1.0
CoalSuperC1,2030,0.0,1710.0,655,5.0,0.0,,0,1.0,1.0,1.0
CoalSuperC2,2030,0.0,1710.0,285,5.0,0.0,,0,1.0,1.0,1.0
CoalSuperC3,2030,0.0,1710.0,140,5.0,0.0,,0,1.0,1.0,1.0
CoalSuperC4,2030,0.0,1710.0,250,5.0,0.0,,0,1.0,1.0,1.0
CCGT1,2030,0.0,860.0,80,5.0,0.0,,0,1.0,1.0,1.0
CCGT2,2030,0.0,860.0,9.8,5.0,0.0,,0,1.0,1.0,1.0
CCGT3,2030,0.0,860.0,21.52,5.0,0.0,,0,1.0,1.0,1.0
CCGT4,2030,0.0,860.0,95,5.0,0.0,,0,1.0,1.0,1.0
CCGT5,2030,0.0,860.0,140,5.0,0.0,,0,1.0,1.0,1.0
CCGT6,2030,0.0,860.0,12.5,5.0,0.0,,0,1.0,1.0,1.0
CCGT7,2030,0.0,860.0,51.792,5.0,0.0,,0,1.0,1.0,1.0
CCGT8,2030,0.0,860.0,70,5.0,0.0,,0,1.0,1.0,1.0
OCGT1,2030,0.0,480.0,0.13,5.0,0.0,,0,1.0,1.0,1.0
OCGT2,2030,0.0,480.0,13.165,5.0,0.0,,0,1.0,1.0,1.0
OCGT3,2030,0.0,480.0,0.889,5.0,0.0,,0,1.0,1.0,1.0
OCGT4,2030,0.0,480.0,49,5.0,0.0,,0,1.0,1.0,1.0
OCGT5,2030,0.0,480.0,29,5.0,0.0,,0,1.0,1.0,1.0
OCGT6,2030,0.0,480.0,0.661,5.0,0.0,,0,1.0,1.0,1.0
OCGT7,2030,0.0,480.0,22.8,5.0,0.0,,0,1.0,1.0,1.0
OCGT8,2030,0.0,480.0,0.2,5.0,0.0,,0,1.0,1.0,1.0
Nuclear1,2030,0.0,3660.0,1250,5.0,0.0,,0,1.0,1.0,1.0
Nuclear2,2030,0.0,3660.0,920,5.0,0.0,,0,1.0,1.0,1.0
Nuclear3,2030,0.0,3660.0,440,5.0,0.0,,0,1.0,1.0,1.0
Nuclear4,2030,0.0,3660.0,1650,5.0,0.0,,0,1.0,1.0,1.0
OnWind,2030,0.0,1190.0,1000,5.0,0.0,,0,1.0,1.0,1.0
OffWind,2030,0.0,2700.0,1000,5.0,0.0,,0,1.0,1.0,1.0
Solar,2030,0.0,1140.0,500,5.0,0.0,,0,1.0,1.0,1.0
demand,2030,0.0,0.0,,5.0,0.0,,0,1.0,1.0,1.0
ens,2030,0.0,0.0,,5.0,0.0,,0,1.0,1.0,1.0
